"id","token_id","attendee_id","score_acquired","claimed_at","created_at","updated_at"
"1","1","209","20","2025-06-23 17:51:09.599+00","2025-06-23 17:51:09.599+00","2025-06-23 17:51:09.599+00"
"2","1","444","20","2025-06-23 17:54:57.308+00","2025-06-23 17:54:57.308+00","2025-06-23 17:54:57.308+00"
"3","1","783","20","2025-06-23 17:56:38.273+00","2025-06-23 17:56:38.273+00","2025-06-23 17:56:38.273+00"
"4","1","415","20","2025-06-23 17:57:06.22+00","2025-06-23 17:57:06.22+00","2025-06-23 17:57:06.22+00"
"5","1","1741","20","2025-06-23 18:05:02.731+00","2025-06-23 18:05:02.732+00","2025-06-23 18:05:02.732+00"
"6","1","535","20","2025-06-23 18:08:42.16+00","2025-06-23 18:08:42.161+00","2025-06-23 18:08:42.161+00"
"7","1","2039","20","2025-06-23 18:10:41.662+00","2025-06-23 18:10:41.662+00","2025-06-23 18:10:41.662+00"
"8","1","2150","20","2025-06-23 18:11:22.945+00","2025-06-23 18:11:22.946+00","2025-06-23 18:11:22.946+00"
"9","1","203","20","2025-06-23 18:39:12.284+00","2025-06-23 18:39:12.285+00","2025-06-23 18:39:12.285+00"
"10","1","419","20","2025-06-23 18:49:02.988+00","2025-06-23 18:49:02.989+00","2025-06-23 18:49:02.989+00"
"11","1","420","20","2025-06-23 18:57:04.919+00","2025-06-23 18:57:04.92+00","2025-06-23 18:57:04.92+00"
"12","1","563","20","2025-06-23 19:17:07.508+00","2025-06-23 19:17:07.509+00","2025-06-23 19:17:07.509+00"
"13","1","1590","20","2025-06-23 19:28:28.303+00","2025-06-23 19:28:28.304+00","2025-06-23 19:28:28.304+00"
"14","1","221","20","2025-06-23 19:54:01.838+00","2025-06-23 19:54:01.839+00","2025-06-23 19:54:01.839+00"
"15","1","491","20","2025-06-23 22:43:47.79+00","2025-06-23 22:43:47.79+00","2025-06-23 22:43:47.79+00"
"16","2","209","120","2025-06-24 00:58:45.079+00","2025-06-24 00:58:45.079+00","2025-06-24 00:58:45.079+00"
"17","1","1965","20","2025-06-24 01:09:30.731+00","2025-06-24 01:09:30.732+00","2025-06-24 01:09:30.732+00"
"18","1","196","20","2025-06-24 04:48:47.964+00","2025-06-24 04:48:47.964+00","2025-06-24 04:48:47.964+00"
"19","1","1739","20","2025-06-25 16:04:33.909+00","2025-06-25 16:04:33.909+00","2025-06-25 16:04:33.909+00"
"20","1","1734","20","2025-06-25 16:26:11.131+00","2025-06-25 16:26:11.132+00","2025-06-25 16:26:11.132+00"
"21","1","1627","20","2025-06-25 19:13:59.104+00","2025-06-25 19:13:59.105+00","2025-06-25 19:13:59.105+00"
"22","1","2276","20","2025-06-25 19:34:00.295+00","2025-06-25 19:34:00.295+00","2025-06-25 19:34:00.295+00"
"23","1","841","20","2025-06-25 19:58:58.411+00","2025-06-25 19:58:58.412+00","2025-06-25 19:58:58.412+00"
