id,created_at,updated_at,ticket_system_id,name,start_date,end_date,ticket_system_url,ticket_system_image_url,location,city,state,total_attendees,slug
33,2025-04-30 13:55:24.283+00,2025-05-02 16:29:48.528+00,531606,São Paulo - Meetup Codecon - #01,2025-02-25 00:00:00+00,2025-02-25 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-spo-01,,São Paulo,São Paulo,São Paulo,54,so-paulo-meetup-codecon-01
40,2025-04-30 13:55:34.933+00,2025-05-02 16:31:02.422+00,534541,Floripa - Meetup Codecon - #10,2025-03-12 00:00:00+00,2025-03-12 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-fln-10,,Florianópolis,Florianópolis,Santa Catarina,48,floripa-meetup-codecon-10
47,2025-04-30 13:55:49.745+00,2025-05-02 14:35:49.143+00,551396,São Paulo - Meetup Codecon - #02,2025-04-23 00:00:00+00,2025-04-23 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-spo-02,,São Paulo,São Paulo,São Paulo,106,so-paulo-meetup-codecon-02
57,2025-04-30 13:56:07.532+00,2025-05-02 16:40:00.864+00,554160,Curitiba - Meetup Codecon - #09,2025-04-24 00:00:00+00,2025-04-24 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-cwb-09,,Curitiba,Curitiba,Paraná,71,curitiba-meetup-codecon-09
58,2025-05-02 00:00:00+00,2025-05-02 16:44:50.008+00,534352,Joinville - Meetup Codecon - #13,2025-03-13 00:00:00+00,2025-03-13 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-joi-13,,Joinville,Joinville,Santa Catarina,52,joinville-meetup-codecon-13
62,2025-05-07 19:27:15.547+00,2025-05-13 20:27:08.995+00,567161,Floripa - Meetup Codecon - #11,2025-05-13 19:00:00+00,2025-05-13 22:00:00+00,https://eventos.codecon.dev/floripa-meetup-codecon-11-567161,https://images.even3.com/Yy0pueMcDMxKXuTjAAzm64-gQ54=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.1f737e1b496e4fccbbd7.png,Wooden Tap Beer,Florianópolis,Santa Catarina,77,floripa-meetup-codecon-11
67,2025-05-12 15:24:28.519+00,2025-05-12 15:47:05.861+00,561844,Joinville - Meetup Codecon - #14,2025-05-08 00:00:00+00,2025-05-08 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-joi-14,,Joinville,Joinville,Santa Catarina,60,joinville-meetup-codecon-14
76,2025-06-13 12:57:04.499+00,2025-06-25 21:37:06.761+00,591994,São Paulo - Meetup Codecon - #03,2025-06-25 19:00:00+00,2025-06-25 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-spo-03-591994,https://images.even3.com/idIeNNcZK6ddXbh7-AFGB-P9fiQ=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados1.d083866f3c2148db91a2.png,Oracle do Brasil Sistemas,São Paulo,São Paulo,100,so-paulo-meetup-codecon-03
79,2025-06-13 12:57:05.594+00,2025-06-25 20:17:03.147+00,591517,Curitiba - Meetup Codecon - #10,2025-06-25 19:00:00+00,2025-06-25 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-cwb-10-591517,https://images.even3.com/B8WWT76p0jek03qU3UPpfG7QxEg=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.7a317fe2e8454878bb21.png,Pinhão Hub,Curitiba,Paraná,50,curitiba-meetup-codecon-10
80,2025-06-13 14:17:17.16+00,2025-07-02 12:11:32.942+00,591847,Joinville - Meetup Codecon - #15,2025-06-26 19:00:00+00,2025-06-26 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-joi-15-591847,https://images.even3.com/cX7JuDFhouRuXi0oIpA3RuymQTI=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.98eed59419384275b342.png,XYZ Coworking Joinville,Joinville,Santa Catarina,62,joinville-meetup-codecon-15
83,2025-07-07 16:27:03.082+00,2025-07-15 23:17:04.257+00,602144,Curitiba - Meetup Codecon - #11,2025-07-15 19:00:00+00,2025-07-15 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-cwb-11-602144,https://images.even3.com/_kV5eSfAVkWCW3SOzxEpmNvhU3c=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.10e9c00847174d9884d4.png,Pinhão Hub,Curitiba,Paraná,86,curitiba-meetup-codecon-11
84,2025-07-15 13:37:08.259+00,2025-07-20 22:37:01.959+00,605426,Blumenau - Meetup Codecon - #5,2025-07-22 19:00:00+00,2025-07-22 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-blu-05-605426,https://images.even3.com/MUmPSBm41bSgrcOT9NP0flgNiQc=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.e231035cdf344467a777.png,Balbúrdia Blumenau,Blumenau,Santa Catarina,17,blumenau-meetup-codecon-5
85,2025-07-19 21:32:04.822+00,2025-07-21 02:12:01.422+00,603788,Codecon Summit 26,2026-08-14 09:00:00+00,2026-08-15 19:00:00+00,https://eventos.codecon.dev/codecon-summit-26,https://images.even3.com/Deg_0Btj1NfyNb0vHx-4E4UMHZw=/1100x440/smart/https://static.even3.com/banner/capa-even3.7bb293d07c4a4195af14.png,Expotrade Convention Center,Pinhais,Paraná,76,codecon-summit-26
