id,created_at,updated_at,ticket_system_id,name,start_date,end_date,ticket_system_url,ticket_system_image_url,location,city,state,total_attendees,slug
1,2025-01-06 21:47:02+00,2025-07-19 09:27:02.764+00,517287,Codecon Summit 25,2025-07-18 09:00:00+00,2025-07-20 03:00:00+00,https://codecon.dev/summit,https://images.even3.com/VJWygh4s9ENHa64rEk5aKzFOdNk=/1100x440/smart/https://static.even3.com/banner/capa-even3.723733dc3a3d4eae941c.png,Viasoft Experience,Curitiba,Paraná,1824,codecon-summit-25
3,2025-01-07 13:17:01+00,2025-01-07 13:17:01+00,521869,Joinville - Meetup Codecon - #12,2025-01-23 19:00:00+00,2025-01-23 22:00:00+00,https://eventos.codecon.dev/meetup-codecon-joi-12,https://images.even3.com/RueW0RkuFjTqwAvgrxOpZgT3tvA=/1100x440/smart/even3.blob.core.windows.net/banner/CapaEven3-2convidados.b666f1d972f240ec968b.png,XYZ Coworking,Joinville,Santa Catarina,59,joinville-meetup-codecon-12
4,2025-01-09 11:12:06+00,2025-01-09 11:12:06+00,522264,Florianópolis - Meetup Codecon - #09,2025-01-21 19:00:00+00,2025-01-21 22:00:00+00,https://eventos.codecon.dev/meetup-codecon-fln-09,https://images.even3.com/PWIVTrDNg6pNXABCP82CYMdR-aM=/1100x440/smart/even3.blob.core.windows.net/banner/CapaEven3-2convidados.db342c0703634e998300.png,Wooden Tap Beer,Florianópolis,Santa Catarina,67,florianpolis-meetup-codecon-09
5,2025-01-22 15:42:07+00,2025-01-22 15:42:07+00,524827,Blumenau - Meetup Codecon - #03,2025-02-11 19:00:00+00,2025-02-11 22:00:00+00,https://eventos.codecon.dev/meetup-codecon-blu-03,https://images.even3.com/-a0IWA8cKPLVicFEdOX-D4lGe5s=/1100x440/smart/even3.blob.core.windows.net/banner/CapaEven3-2convidados.4c6d323086db4cfb91e6.png,Balbúrdia Cervejaria,Blumenau,Santa Catarina,50,blumenau-meetup-codecon-03
7,2025-01-28 11:32:06+00,2025-05-17 23:02:08.231+00,525797,Codecon Universe 25,2025-05-17 09:00:00+00,2025-05-18 19:00:00+00,https://codecon.dev/universe,https://images.even3.com/62ecEB-V4xe3v5pXee1h78E08uw=/1100x440/smart/even3.blob.core.windows.net/banner/Frame1.1db8092a7fbb4344bdbe.png,Ágora Tech Park,Joinville,Santa Catarina,133,codecon-universe-25
10,2025-03-24 14:28:41.12+00,2025-03-24 14:28:41.12+00,537327,Chapecó - Meetup Codecon - #01,2025-03-24 19:00:00+00,2025-03-24 21:30:00+00,https://eventos.codecon.dev/meetup-codecon-cha-01,https://images.even3.com/QFoaXEpoqTYp1VHLMdH14vix8w0=/1100x440/smart/https://static.even3.com/banner/CapaEven3-2convidados.8c4f7d6dbfbe4340a849.png,Unoesc Chapecó,Chapecó,Santa Catarina,50,chapec-meetup-codecon-01
12,2025-04-04 19:17:09.722+00,2025-07-21 01:42:02.829+00,549943,Datacon 25,2025-09-06 09:00:00+00,2025-09-06 19:30:00+00,https://eventos.codecon.dev/datacon-25,https://images.even3.com/sZO_D9YtkEdSlGrXD5J-p3lkOz4=/1100x440/smart/https://static.even3.com/banner/capa-even3.e96409fe7f454cbdadd8.png,STATE Innovation Center,São Paulo,São Paulo,199,datacon-25
13,2025-04-17 11:57:08.656+00,2025-07-18 13:37:01.88+00,558915,Select Experience 25,2025-11-01 08:00:00+00,2025-11-01 19:00:00+00,https://eventos.codecon.dev/select-experience-25,https://images.even3.com/qiQs8wj-pMivd2R8mVjKJEBIVdQ=/1100x440/smart/https://static.even3.com/banner/capa-even3.51525271282246679355.png,STATE Innovation Center,São Paulo,São Paulo,34,select-experience-25
16,2025-04-30 13:47:11.928+00,2025-05-02 16:26:33.61+00,530888,Curitiba - Meetup Codecon - #08,2025-02-25 00:00:00+00,2025-02-25 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-cwb-08,,Curitiba,Curitiba,Paraná,64,curitiba-meetup-codecon-08
24,2025-04-30 13:52:51.063+00,2025-04-30 14:12:07.952+00,554185,Blumenau - Meetup Codecon - #04,2025-04-29 00:00:00+00,2025-04-29 00:00:00+00,https://eventos.codecon.dev/meetup-codecon-blu-04,,Blumenau,Blumenau,Santa Catarina,61,blumenau-meetup-codecon-04
